transaction_id,carrier_name,origin_city,destination_city,risk_classification,delivery_time_deviation,sla_breached,carrier_avg_deviation
TXN00478,Bluedart,Bangalore,Kolkata,Low Risk,3.43,0,3.05
TXN00388,Bluedart,Delhi,Kolkata,Low Risk,2.39,0,3.05
TXN00389,Bluedart,Delhi,Pune,Low Risk,-0.84,0,3.05
TXN00298,Bluedart,Mumbai,Kolkata,High Risk,9.46,1,3.05
TXN00758,Bluedart,Mumbai,Kolkata,Low Risk,3.45,0,3.05
TXN00300,Bluedart,Bangalore,Pune,Low Risk,-0.31,0,3.05
TXN00301,Bluedart,Mumbai,Chennai,High Risk,10.2,1,3.05
TXN00491,Bluedart,Mumbai,Pune,Low Risk,2.85,0,3.05
TXN00305,Bluedart,Mumbai,Kolkata,Moderate Risk,2.06,0,3.05
TXN00633,Bluedart,Bangalore,Pune,Low Risk,-0.38,0,3.05
TXN00632,Bluedart,Delhi,Chennai,Low Risk,-0.31,0,3.05
TXN00510,Bluedart,Bangalore,Pune,Low Risk,3.04,0,3.05
TXN00630,Bluedart,Delhi,Kolkata,Moderate Risk,3.8,0,3.05
TXN00576,Bluedart,Mumbai,Kolkata,Low Risk,-0.53,0,3.05
TXN00492,Bluedart,Bangalore,Pune,Moderate Risk,1.95,0,3.05
TXN00626,Bluedart,Mumbai,Chennai,Moderate Risk,2.1,0,3.05
TXN00317,Bluedart,Mumbai,Pune,Low Risk,0.84,0,3.05
TXN00751,Bluedart,Mumbai,Pune,High Risk,5.53,1,3.05
TXN00057,Bluedart,Delhi,Pune,Moderate Risk,3.83,0,3.05
TXN00624,Bluedart,Mumbai,Chennai,Low Risk,7.04,1,3.05
TXN00059,Bluedart,Delhi,Kolkata,Low Risk,-0.06,0,3.05
TXN00321,Bluedart,Bangalore,Chennai,Low Risk,-2.02,0,3.05
TXN00530,Bluedart,Mumbai,Pune,Low Risk,-2.52,0,3.05
TXN00062,Bluedart,Mumbai,Kolkata,Low Risk,1.1,0,3.05
TXN00063,Bluedart,Mumbai,Chennai,Low Risk,-0.08,0,3.05
TXN00461,Bluedart,Mumbai,Kolkata,High Risk,7.1,1,3.05
TXN00616,Bluedart,Mumbai,Pune,Low Risk,0.82,0,3.05
TXN00330,Bluedart,Mumbai,Chennai,Low Risk,1.84,0,3.05
TXN00067,Bluedart,Mumbai,Chennai,Moderate Risk,2.98,0,3.05
TXN00748,Bluedart,Bangalore,Kolkata,Low Risk,1.43,0,3.05
TXN00331,Bluedart,Delhi,Pune,High Risk,8.45,1,3.05
TXN00463,Bluedart,Mumbai,Chennai,Moderate Risk,4.51,1,3.05
TXN00336,Bluedart,Delhi,Kolkata,Moderate Risk,5.14,1,3.05
TXN00072,Bluedart,Delhi,Chennai,Low Risk,3.1,0,3.05
TXN00610,Bluedart,Bangalore,Chennai,Low Risk,2.17,0,3.05
TXN00074,Bluedart,Mumbai,Pune,Moderate Risk,4.01,1,3.05
TXN00494,Bluedart,Delhi,Pune,Low Risk,-0.32,0,3.05
TXN00467,Bluedart,Bangalore,Chennai,Moderate Risk,6.4,1,3.05
TXN00743,Bluedart,Delhi,Pune,Moderate Risk,4.8,1,3.05
TXN00468,Bluedart,Bangalore,Chennai,Low Risk,3.1,0,3.05
TXN00600,Bluedart,Bangalore,Kolkata,Low Risk,3.98,0,3.05
TXN00399,Bluedart,Bangalore,Pune,Low Risk,0.49,0,3.05
TXN00470,Bluedart,Delhi,Chennai,Low Risk,2.26,0,3.05
TXN00082,Bluedart,Mumbai,Chennai,High Risk,8.78,1,3.05
TXN00738,Bluedart,Mumbai,Chennai,High Risk,9.92,1,3.05
TXN00596,Bluedart,Delhi,Pune,High Risk,7.21,1,3.05
TXN00351,Bluedart,Delhi,Pune,Low Risk,-3.28,0,3.05
TXN00352,Bluedart,Bangalore,Chennai,Moderate Risk,6.66,1,3.05
TXN00087,Bluedart,Mumbai,Chennai,High Risk,10.27,1,3.05
TXN00737,Bluedart,Mumbai,Kolkata,Low Risk,-2.52,0,3.05
TXN00592,Bluedart,Bangalore,Chennai,High Risk,8.45,1,3.05
TXN00590,Bluedart,Mumbai,Kolkata,Low Risk,5.22,1,3.05
TXN00732,Bluedart,Bangalore,Pune,Low Risk,2.61,0,3.05
TXN00589,Bluedart,Mumbai,Kolkata,Moderate Risk,1.38,0,3.05
TXN00358,Bluedart,Mumbai,Pune,Low Risk,-0.79,0,3.05
TXN00498,Bluedart,Bangalore,Kolkata,Low Risk,5.13,1,3.05
TXN00361,Bluedart,Delhi,Chennai,Low Risk,2.66,0,3.05
TXN00362,Bluedart,Delhi,Pune,Moderate Risk,4.47,1,3.05
TXN00731,Bluedart,Bangalore,Pune,Low Risk,1.53,0,3.05
TXN00501,Bluedart,Bangalore,Chennai,Moderate Risk,7.44,1,3.05
TXN00099,Bluedart,Bangalore,Chennai,Moderate Risk,0.77,0,3.05
TXN00482,Bluedart,Mumbai,Pune,Low Risk,3.18,0,3.05
TXN00476,Bluedart,Delhi,Pune,Low Risk,-0.67,0,3.05
TXN00581,Bluedart,Delhi,Kolkata,Moderate Risk,4.62,1,3.05
TXN00728,Bluedart,Mumbai,Chennai,Low Risk,2.94,0,3.05
TXN00374,Bluedart,Delhi,Kolkata,High Risk,5.92,1,3.05
TXN00377,Bluedart,Delhi,Chennai,Low Risk,1.53,0,3.05
TXN00780,Bluedart,Bangalore,Kolkata,Low Risk,3.71,0,3.05
TXN00725,Bluedart,Bangalore,Kolkata,Low Risk,-1.65,0,3.05
TXN00785,Bluedart,Mumbai,Kolkata,Moderate Risk,4.18,1,3.05
TXN00403,Bluedart,Bangalore,Kolkata,Low Risk,1.34,0,3.05
TXN00724,Bluedart,Delhi,Pune,Low Risk,2.78,0,3.05
TXN00792,Bluedart,Bangalore,Kolkata,Moderate Risk,3.56,0,3.05
TXN00723,Bluedart,Bangalore,Chennai,Low Risk,-0.43,0,3.05
TXN00794,Bluedart,Delhi,Chennai,Low Risk,1.27,0,3.05
TXN00796,Bluedart,Delhi,Chennai,Low Risk,0.33,0,3.05
TXN00798,Bluedart,Mumbai,Kolkata,Low Risk,4.34,1,3.05
TXN00116,Bluedart,Bangalore,Kolkata,Low Risk,1.12,0,3.05
TXN00800,Bluedart,Mumbai,Chennai,High Risk,10.97,1,3.05
TXN00712,Bluedart,Bangalore,Chennai,Low Risk,-0.65,0,3.05
TXN00119,Bluedart,Delhi,Pune,High Risk,6.31,1,3.05
TXN00802,Bluedart,Bangalore,Chennai,Moderate Risk,6.61,1,3.05
TXN00121,Bluedart,Delhi,Chennai,Low Risk,-0.73,0,3.05
TXN00803,Bluedart,Bangalore,Chennai,Moderate Risk,-1.47,0,3.05
TXN00807,Bluedart,Mumbai,Pune,High Risk,8.54,1,3.05
TXN00124,Bluedart,Bangalore,Chennai,Low Risk,-0.18,0,3.05
TXN00809,Bluedart,Mumbai,Pune,Low Risk,3.77,0,3.05
TXN00812,Bluedart,Bangalore,Kolkata,Low Risk,3.48,0,3.05
TXN00127,Bluedart,Delhi,Kolkata,Moderate Risk,1.4,0,3.05
TXN00705,Bluedart,Bangalore,Pune,Low Risk,-0.69,0,3.05
TXN00704,Bluedart,Delhi,Kolkata,Low Risk,1.46,0,3.05
TXN00702,Bluedart,Delhi,Chennai,Moderate Risk,5.77,1,3.05
TXN00131,Bluedart,Delhi,Pune,Low Risk,3.8,0,3.05
TXN00132,Bluedart,Mumbai,Kolkata,Moderate Risk,2.38,0,3.05
TXN00133,Bluedart,Delhi,Pune,Low Risk,1.97,0,3.05
TXN00554,Bluedart,Mumbai,Pune,Low Risk,-0.86,0,3.05
TXN00135,Bluedart,Mumbai,Chennai,High Risk,8.23,1,3.05
TXN00136,Bluedart,Mumbai,Kolkata,Moderate Risk,3.14,0,3.05
TXN00137,Bluedart,Delhi,Pune,Low Risk,-0.47,0,3.05
TXN00552,Bluedart,Delhi,Chennai,Low Risk,2.08,0,3.05
TXN00139,Bluedart,Delhi,Kolkata,Moderate Risk,2.37,0,3.05
TXN00815,Bluedart,Mumbai,Chennai,Low Risk,4.94,1,3.05
TXN00141,Bluedart,Bangalore,Pune,Low Risk,-0.51,0,3.05
TXN00816,Bluedart,Mumbai,Chennai,Moderate Risk,2.64,0,3.05
TXN00819,Bluedart,Bangalore,Pune,Moderate Risk,3.93,0,3.05
TXN00830,Bluedart,Mumbai,Chennai,High Risk,2.93,0,3.05
TXN00831,Bluedart,Bangalore,Pune,High Risk,9.13,1,3.05
TXN00834,Bluedart,Bangalore,Pune,Moderate Risk,3.76,0,3.05
TXN00550,Bluedart,Delhi,Pune,Low Risk,3.24,0,3.05
TXN00148,Bluedart,Bangalore,Pune,Low Risk,2.81,0,3.05
TXN00692,Bluedart,Mumbai,Chennai,Low Risk,2.06,0,3.05
TXN00837,Bluedart,Delhi,Pune,Moderate Risk,4.92,1,3.05
TXN00413,Bluedart,Delhi,Pune,Moderate Risk,0.03,0,3.05
TXN00152,Bluedart,Delhi,Kolkata,Low Risk,-1.72,0,3.05
TXN00484,Bluedart,Bangalore,Chennai,Low Risk,3.59,0,3.05
TXN00154,Bluedart,Bangalore,Pune,Low Risk,-0.13,0,3.05
TXN00839,Bluedart,Bangalore,Chennai,Moderate Risk,3.03,0,3.05
TXN00415,Bluedart,Delhi,Kolkata,Moderate Risk,4.97,1,3.05
TXN00842,Bluedart,Mumbai,Pune,Moderate Risk,3.93,0,3.05
TXN00158,Bluedart,Delhi,Kolkata,Low Risk,-0.48,0,3.05
TXN00844,Bluedart,Delhi,Pune,Low Risk,2.33,0,3.05
TXN00416,Bluedart,Delhi,Chennai,Low Risk,0.59,0,3.05
TXN00161,Bluedart,Bangalore,Chennai,Low Risk,0.72,0,3.05
TXN00845,Bluedart,Bangalore,Pune,Moderate Risk,2.63,0,3.05
TXN00852,Bluedart,Delhi,Pune,Moderate Risk,6.79,1,3.05
TXN00855,Bluedart,Delhi,Chennai,Low Risk,-1.91,0,3.05
TXN00165,Bluedart,Mumbai,Pune,Moderate Risk,5.36,1,3.05
TXN00687,Bluedart,Mumbai,Kolkata,Moderate Risk,0.7,0,3.05
TXN00861,Bluedart,Mumbai,Kolkata,Moderate Risk,0.28,0,3.05
TXN00865,Bluedart,Mumbai,Chennai,Low Risk,1.32,0,3.05
TXN00866,Bluedart,Mumbai,Chennai,Moderate Risk,2.26,0,3.05
TXN00870,Bluedart,Delhi,Kolkata,Moderate Risk,4.32,1,3.05
TXN00171,Bluedart,Delhi,Chennai,Moderate Risk,4.18,1,3.05
TXN00873,Bluedart,Bangalore,Kolkata,Low Risk,-0.54,0,3.05
TXN00878,Bluedart,Delhi,Pune,High Risk,4.48,1,3.05
TXN00684,Bluedart,Delhi,Pune,High Risk,7.8,1,3.05
TXN00879,Bluedart,Delhi,Chennai,High Risk,9.07,1,3.05
TXN00880,Bluedart,Mumbai,Chennai,High Risk,4.51,1,3.05
TXN00885,Bluedart,Mumbai,Pune,Low Risk,3.83,0,3.05
TXN00178,Bluedart,Mumbai,Pune,Moderate Risk,1.83,0,3.05
TXN00886,Bluedart,Mumbai,Pune,Low Risk,2.32,0,3.05
TXN00180,Bluedart,Bangalore,Chennai,Low Risk,1.09,0,3.05
TXN00889,Bluedart,Bangalore,Chennai,Low Risk,1.11,0,3.05
TXN00892,Bluedart,Mumbai,Kolkata,Moderate Risk,1.44,0,3.05
TXN00546,Bluedart,Mumbai,Pune,Moderate Risk,3.41,0,3.05
TXN00184,Bluedart,Bangalore,Chennai,High Risk,7.17,1,3.05
TXN00185,Bluedart,Delhi,Kolkata,Moderate Risk,1.43,0,3.05
TXN00893,Bluedart,Delhi,Pune,Moderate Risk,8.3,1,3.05
TXN00425,Bluedart,Mumbai,Chennai,Low Risk,2.32,0,3.05
TXN00426,Bluedart,Delhi,Pune,Low Risk,2.78,0,3.05
TXN00900,Bluedart,Mumbai,Chennai,Low Risk,0.27,0,3.05
TXN00544,Bluedart,Delhi,Pune,High Risk,9.6,1,3.05
TXN00428,Bluedart,Mumbai,Kolkata,Low Risk,-3.15,0,3.05
TXN00192,Bluedart,Delhi,Chennai,Low Risk,1.22,0,3.05
TXN00911,Bluedart,Bangalore,Kolkata,Low Risk,3.68,0,3.05
TXN00430,Bluedart,Mumbai,Chennai,Moderate Risk,4.37,1,3.05
TXN00912,Bluedart,Mumbai,Pune,High Risk,2.6,0,3.05
TXN00920,Bluedart,Mumbai,Kolkata,Low Risk,1.17,0,3.05
TXN00681,Bluedart,Delhi,Chennai,Moderate Risk,3.42,0,3.05
TXN00198,Bluedart,Bangalore,Pune,High Risk,9.21,1,3.05
TXN00922,Bluedart,Mumbai,Pune,Moderate Risk,5.06,1,3.05
TXN00432,Bluedart,Delhi,Pune,High Risk,9.21,1,3.05
TXN00924,Bluedart,Mumbai,Pune,Low Risk,-2.25,0,3.05
TXN00926,Bluedart,Bangalore,Chennai,High Risk,8.15,1,3.05
TXN00203,Bluedart,Mumbai,Chennai,Low Risk,1.13,0,3.05
TXN00929,Bluedart,Bangalore,Pune,Low Risk,1.17,0,3.05
TXN00205,Bluedart,Mumbai,Pune,Low Risk,2.47,0,3.05
TXN00675,Bluedart,Mumbai,Kolkata,High Risk,8.8,1,3.05
TXN00932,Bluedart,Bangalore,Pune,Low Risk,1.69,0,3.05
TXN00933,Bluedart,Delhi,Pune,Low Risk,-1.49,0,3.05
TXN00209,Bluedart,Mumbai,Kolkata,Low Risk,1.24,0,3.05
TXN00935,Bluedart,Mumbai,Pune,Low Risk,1.97,0,3.05
TXN00538,Bluedart,Mumbai,Kolkata,Low Risk,0.66,0,3.05
TXN00212,Bluedart,Bangalore,Pune,Low Risk,-0.81,0,3.05
TXN00937,Bluedart,Mumbai,Kolkata,Moderate Risk,1.31,0,3.05
TXN00533,Bluedart,Delhi,Pune,Moderate Risk,4.64,1,3.05
TXN00215,Bluedart,Bangalore,Pune,Low Risk,0.46,0,3.05
TXN00941,Bluedart,Delhi,Chennai,Moderate Risk,4.87,1,3.05
TXN00217,Bluedart,Bangalore,Pune,Low Risk,2.01,0,3.05
TXN00943,Bluedart,Bangalore,Chennai,Low Risk,-2.47,0,3.05
TXN00502,Bluedart,Delhi,Pune,Low Risk,1.53,0,3.05
TXN00944,Bluedart,Mumbai,Chennai,Moderate Risk,4.86,1,3.05
TXN00440,Bluedart,Bangalore,Chennai,Low Risk,1.3,0,3.05
TXN00946,Bluedart,Delhi,Pune,Low Risk,2.02,0,3.05
TXN00670,Bluedart,Delhi,Pune,High Risk,7.33,1,3.05
TXN00949,Bluedart,Bangalore,Chennai,Moderate Risk,5.67,1,3.05
TXN00952,Bluedart,Bangalore,Chennai,High Risk,10.73,1,3.05
TXN00226,Bluedart,Delhi,Kolkata,Moderate Risk,0.31,0,3.05
TXN00957,Bluedart,Mumbai,Pune,Moderate Risk,6.24,1,3.05
TXN00228,Bluedart,Delhi,Chennai,Low Risk,3.59,0,3.05
TXN00229,Bluedart,Mumbai,Kolkata,High Risk,9.06,1,3.05
TXN00960,Bluedart,Mumbai,Chennai,Moderate Risk,3.87,0,3.05
TXN00668,Bluedart,Delhi,Chennai,Low Risk,0.79,0,3.05
TXN00961,Bluedart,Mumbai,Pune,Moderate Risk,5.28,1,3.05
TXN00665,Bluedart,Bangalore,Kolkata,Low Risk,-0.82,0,3.05
TXN00664,Bluedart,Mumbai,Kolkata,Moderate Risk,4.13,1,3.05
TXN00965,Bluedart,Mumbai,Chennai,Low Risk,-2.92,0,3.05
TXN00966,Bluedart,Delhi,Pune,Low Risk,-1.97,0,3.05
TXN00972,Bluedart,Delhi,Pune,Moderate Risk,2.39,0,3.05
TXN00532,Bluedart,Delhi,Pune,Low Risk,-0.65,0,3.05
TXN00662,Bluedart,Bangalore,Kolkata,High Risk,7.24,1,3.05
TXN00983,Bluedart,Mumbai,Pune,Moderate Risk,3.79,0,3.05
TXN00442,Bluedart,Mumbai,Chennai,Moderate Risk,3.9,0,3.05
TXN00995,Bluedart,Mumbai,Chennai,Low Risk,0.94,0,3.05
TXN00243,Bluedart,Delhi,Chennai,Moderate Risk,3.1,0,3.05
TXN00996,Bluedart,Mumbai,Kolkata,Low Risk,0.64,0,3.05
TXN00246,Bluedart,Bangalore,Pune,Moderate Risk,4.02,1,3.05
TXN00247,Bluedart,Bangalore,Kolkata,Moderate Risk,2.85,0,3.05
TXN00248,Bluedart,Mumbai,Kolkata,Moderate Risk,5.26,1,3.05
TXN00655,Bluedart,Mumbai,Chennai,Moderate Risk,-0.18,0,3.05
TXN00251,Bluedart,Delhi,Chennai,Low Risk,0.2,0,3.05
TXN00253,Bluedart,Mumbai,Chennai,Low Risk,4.88,1,3.05
TXN00254,Bluedart,Delhi,Kolkata,Low Risk,2.89,0,3.05
TXN00488,Bluedart,Delhi,Chennai,High Risk,9.45,1,3.05
TXN00489,Bluedart,Mumbai,Kolkata,Moderate Risk,6.38,1,3.05
TXN00653,Bluedart,Delhi,Pune,Low Risk,4.05,1,3.05
TXN00260,Bluedart,Bangalore,Chennai,Moderate Risk,4.76,1,3.05
TXN00262,Bluedart,Mumbai,Chennai,Moderate Risk,3.91,0,3.05
TXN00263,Bluedart,Delhi,Kolkata,Low Risk,0.72,0,3.05
TXN00579,Delhivery,Bangalore,Pune,High Risk,9.08,1,3.33
TXN00381,Delhivery,Bangalore,Chennai,Low Risk,1.72,0,3.33
TXN00009,Delhivery,Mumbai,Kolkata,High Risk,8.98,1,3.33
TXN00578,Delhivery,Mumbai,Pune,Low Risk,4.75,1,3.33
TXN00577,Delhivery,Mumbai,Kolkata,Low Risk,-1.22,0,3.33
TXN00774,Delhivery,Bangalore,Pune,Moderate Risk,5.61,1,3.33
TXN00513,Delhivery,Mumbai,Kolkata,Low Risk,1.46,0,3.33
TXN00020,Delhivery,Mumbai,Pune,High Risk,8.56,1,3.33
TXN00022,Delhivery,Bangalore,Kolkata,Low Risk,2.7,0,3.33
TXN00025,Delhivery,Bangalore,Pune,Low Risk,-0.12,0,3.33
TXN00026,Delhivery,Delhi,Chennai,High Risk,7.82,1,3.33
TXN00027,Delhivery,Mumbai,Kolkata,Low Risk,-0.32,0,3.33
TXN00763,Delhivery,Delhi,Pune,Low Risk,-1.38,0,3.33
TXN00033,Delhivery,Delhi,Pune,Moderate Risk,6.57,1,3.33
TXN00034,Delhivery,Mumbai,Chennai,Low Risk,2.28,0,3.33
TXN00761,Delhivery,Delhi,Chennai,High Risk,10.08,1,3.33
TXN00042,Delhivery,Delhi,Pune,Moderate Risk,4.97,1,3.33
TXN00756,Delhivery,Delhi,Chennai,Low Risk,0.29,0,3.33
TXN00755,Delhivery,Mumbai,Chennai,Moderate Risk,6.88,1,3.33
TXN00754,Delhivery,Bangalore,Pune,Low Risk,1.72,0,3.33
TXN00511,Delhivery,Bangalore,Pune,Moderate Risk,5.62,1,3.33
TXN00048,Delhivery,Delhi,Chennai,Low Risk,5.87,1,3.33
TXN00049,Delhivery,Bangalore,Pune,High Risk,12.01,1,3.33
TXN00051,Delhivery,Delhi,Kolkata,Low Risk,-0.21,0,3.33
TXN00753,Delhivery,Delhi,Chennai,High Risk,4.09,1,3.33
TXN00575,Delhivery,Delhi,Kolkata,Low Risk,-0.86,0,3.33
TXN00752,Delhivery,Bangalore,Pune,Low Risk,-0.6,0,3.33
TXN00481,Delhivery,Delhi,Pune,Low Risk,-0.78,0,3.33
TXN00573,Delhivery,Mumbai,Kolkata,Moderate Risk,2.89,0,3.33
TXN00397,Delhivery,Bangalore,Pune,Moderate Risk,6.06,1,3.33
TXN00065,Delhivery,Delhi,Chennai,High Risk,6.11,1,3.33
TXN00749,Delhivery,Bangalore,Chennai,Low Risk,-1.04,0,3.33
TXN00069,Delhivery,Mumbai,Chennai,High Risk,7.93,1,3.33
TXN00070,Delhivery,Delhi,Kolkata,Moderate Risk,2.53,0,3.33
TXN00071,Delhivery,Bangalore,Kolkata,Low Risk,3.9,0,3.33
TXN00073,Delhivery,Delhi,Pune,Low Risk,0.93,0,3.33
TXN00075,Delhivery,Delhi,Chennai,Low Risk,0.46,0,3.33
TXN00745,Delhivery,Mumbai,Chennai,Low Risk,1.42,0,3.33
TXN00570,Delhivery,Bangalore,Kolkata,High Risk,10.57,1,3.33
TXN00742,Delhivery,Mumbai,Kolkata,Moderate Risk,2.66,0,3.33
TXN00741,Delhivery,Mumbai,Pune,High Risk,9.93,1,3.33
TXN00566,Delhivery,Bangalore,Pune,Low Risk,2.69,0,3.33
TXN00565,Delhivery,Mumbai,Kolkata,High Risk,6.48,1,3.33
TXN00086,Delhivery,Bangalore,Kolkata,Low Risk,3.21,0,3.33
TXN00089,Delhivery,Mumbai,Chennai,Low Risk,-0.28,0,3.33
TXN00734,Delhivery,Bangalore,Kolkata,Low Risk,1.28,0,3.33
TXN00092,Delhivery,Mumbai,Kolkata,High Risk,7.63,1,3.33
TXN00093,Delhivery,Bangalore,Kolkata,Low Risk,3.77,0,3.33
TXN00094,Delhivery,Delhi,Pune,Moderate Risk,2.88,0,3.33
TXN00095,Delhivery,Delhi,Kolkata,Moderate Risk,1.56,0,3.33
TXN00096,Delhivery,Bangalore,Pune,Moderate Risk,1.83,0,3.33
TXN00098,Delhivery,Bangalore,Pune,Low Risk,0.84,0,3.33
TXN00101,Delhivery,Delhi,Kolkata,Low Risk,-0.05,0,3.33
TXN00102,Delhivery,Mumbai,Kolkata,Low Risk,0.81,0,3.33
TXN00104,Delhivery,Bangalore,Chennai,High Risk,9.8,1,3.33
TXN00105,Delhivery,Bangalore,Kolkata,Low Risk,1.19,0,3.33
TXN00106,Delhivery,Bangalore,Chennai,Low Risk,0.29,0,3.33
TXN00108,Delhivery,Mumbai,Chennai,Moderate Risk,0.0,0,3.33
TXN00559,Delhivery,Mumbai,Kolkata,Low Risk,0.06,0,3.33
TXN00113,Delhivery,Mumbai,Pune,High Risk,10.67,1,3.33
TXN00557,Delhivery,Bangalore,Kolkata,Moderate Risk,2.53,0,3.33
TXN00720,Delhivery,Mumbai,Chennai,High Risk,9.64,1,3.33
TXN00117,Delhivery,Bangalore,Kolkata,Low Risk,1.08,0,3.33
TXN00711,Delhivery,Delhi,Chennai,Moderate Risk,4.24,1,3.33
TXN00122,Delhivery,Bangalore,Kolkata,Moderate Risk,2.73,0,3.33
TXN00406,Delhivery,Bangalore,Chennai,Moderate Risk,4.22,1,3.33
TXN00874,Delhivery,Bangalore,Kolkata,Moderate Risk,1.32,0,3.33
TXN00126,Delhivery,Bangalore,Kolkata,Low Risk,2.85,0,3.33
TXN00700,Delhivery,Mumbai,Pune,Moderate Risk,5.73,1,3.33
TXN00698,Delhivery,Bangalore,Kolkata,Moderate Risk,5.22,1,3.33
TXN00697,Delhivery,Mumbai,Pune,Low Risk,2.79,0,3.33
TXN00694,Delhivery,Delhi,Pune,High Risk,7.26,1,3.33
TXN00409,Delhivery,Delhi,Kolkata,Low Risk,2.14,0,3.33
TXN00483,Delhivery,Bangalore,Pune,Low Risk,2.05,0,3.33
TXN00412,Delhivery,Bangalore,Pune,Moderate Risk,3.55,0,3.33
TXN00155,Delhivery,Bangalore,Pune,Low Risk,-0.71,0,3.33
TXN00157,Delhivery,Mumbai,Pune,Low Risk,2.93,0,3.33
TXN00691,Delhivery,Mumbai,Chennai,Moderate Risk,1.76,0,3.33
TXN00690,Delhivery,Delhi,Chennai,High Risk,3.25,0,3.33
TXN00689,Delhivery,Mumbai,Kolkata,Moderate Risk,5.68,1,3.33
TXN00164,Delhivery,Mumbai,Pune,Low Risk,-2.35,0,3.33
TXN00417,Delhivery,Delhi,Pune,Low Risk,1.14,0,3.33
TXN00548,Delhivery,Bangalore,Chennai,Moderate Risk,3.95,0,3.33
TXN00169,Delhivery,Mumbai,Kolkata,Moderate Risk,1.32,0,3.33
TXN00686,Delhivery,Mumbai,Kolkata,Low Risk,-4.04,0,3.33
TXN00419,Delhivery,Bangalore,Kolkata,High Risk,7.33,1,3.33
TXN00685,Delhivery,Bangalore,Pune,Moderate Risk,2.22,0,3.33
TXN00175,Delhivery,Mumbai,Chennai,Moderate Risk,3.72,0,3.33
TXN00420,Delhivery,Bangalore,Pune,Low Risk,0.6,0,3.33
TXN00421,Delhivery,Delhi,Pune,Moderate Risk,1.15,0,3.33
TXN00422,Delhivery,Mumbai,Pune,Moderate Risk,3.47,0,3.33
TXN00485,Delhivery,Delhi,Chennai,Low Risk,-1.04,0,3.33
TXN00182,Delhivery,Mumbai,Pune,Low Risk,-0.87,0,3.33
TXN00186,Delhivery,Mumbai,Pune,High Risk,8.19,1,3.33
TXN00189,Delhivery,Bangalore,Chennai,High Risk,11.09,1,3.33
